序号,朝代,书目,古地名,地理描述,景观产业描述,人口描述,今地区_y
131,唐朝,《大唐西域记》,大流沙（塔克拉玛干沙漠）,,从此东行，入大流沙，沙则流漫，聚散随风，人行无迹，遂多迷路，四远茫茫，莫知所指，是以往来者聚遗骸以记之。乏水草，多热风，风起则人畜惛迷，因以成病。,,新疆吐鲁番市鄯善县
132,唐朝,《新唐书·西域传》,高昌 (西昌州/西州),直京师西四千里而赢。其横八百里，纵三百里。凡二十一城。君集分兵略定，凡三州、五县、二十二城。号西昌州。改西昌州曰西州。更置安西都护府。,土沃。麦禾皆再熟。有草名白叠。度碛疲钝。,胜兵万人。户八千。口三万。马四千。,新疆吐鲁番市
133,唐朝,《新唐书·西域传》,交河城,王都交河城，汉车师前王廷也。拜侯君集为交河道大总管。,填隍引冲车。飞石如雨。,,新疆吐鲁番市
134,唐朝,《新唐书·西域传》,田地城,田地城，戊己校尉所治也。君集奄攻田地城。,,虏七千余人。,新疆吐鲁番市
135,唐朝,《新唐书·西域传》,廷州,使叶护屯可汗浮图城。及君集至，惧不敢发，遂来降，以其地为廷州。,,,新疆哈密市
136,唐朝,《新唐书·西域传》,焉耆国,直京师西七千里而赢。东高昌，西??兹，南尉犁，北乌孙。率兵出银山道。有轮台征之。,横六百里，纵四百里。逗渠溉田，有鱼盐利。四面大山，海水缭其外。大碛道。,户四千。胜兵二千。,新疆巴音郭楞州焉耆县
137,唐朝,《新唐书·西域传》,轮台,由北道者轮台征之。,北道。,,新疆博尔塔拉蒙古自治州
138,唐朝,《新唐书·西域传》,龟兹 (丘兹/屈兹),自焉耆西南步二百里，度小山，经大河二，又步七百里乃至。东距京师七千里而赢。居伊逻卢城。以其地为??兹都督府。,横千里，纵六百里。土宜麻、麦、粳稻、蒲陶。阿羯田山（白山）常有火。西北五百里至素叶水城。沙碛荒绝。,那利以西突厥并国人万余来战。斩首三千级。斩八千级。男女数万。,新疆阿克苏地区库车市
139,唐朝,《新唐书·西域传》,伊逻卢城,居伊逻卢城，北倚阿羯田山。,北倚阿羯田山。,,新疆阿克苏地区库车市
140,唐朝,《新唐书·西域传》,跋禄迦 (亟墨/姑墨国),自龟兹赢六百里，逾小沙碛，有跋禄迦。即汉姑墨国。,赢六百里，逾小沙碛。横六百里，纵三百里。,,新疆阿克苏地区温宿县
141,唐朝,《新唐书·西域传》,疏勒 (祛沙),环五千里，距京师九千里而赢。居迦师城。,多沙碛，少壤土。,胜兵二千人。,新疆喀什市
142,唐朝,《新唐书·西域传》,朱俱波 (朱俱盘/子合国),汉子合国也，并有西夜、蒲犁、依耐、得若四种地。直于阗西千里，葱领北三百里，西距喝盘陀，北九百里属疏勒。,葱领北。,胜兵二千人。,新疆和田地区于田县
143,唐朝,《新唐书·西域传》,喝盘陀 (汉陀/渴馆檀/渴罗陀),由疏勒西南入剑末谷、不忍领六百里，其国也。直朱俱波西，南距悬度山，北抵疏勒。治葱岭中。都城负徒多河。,治葱岭中，都城负徒多河。葱领俗号极嶷山，环其国。西南即头痛山也。,胜兵千人。,新疆塔什库尔干塔吉克自治县
144,唐朝,《新唐书·西域传》,于阗 (瞿萨旦那/涣那/屈丹/于遁/豁旦),距京师九千替换里，瓜州赢四千里，并有汉戎卢、杅弥、渠勒、皮山五国故地。其居曰西山城。以其地为毗沙都督府。,有玉河。西有沙碛。东三百里有建德力河。,胜兵四千人。身率子弟酋领七十人来朝。析十州。,新疆和田县
145,唐朝,《新唐书·西域传》,建德力河,于阗东三百里有建德力河。,,,新疆和田地区于田县
146,唐朝,《新唐书·西域传》,精绝国,七百里有精绝国。,,小国。,新疆昌吉回族自治州玛纳斯县
147,唐朝,《新唐书·西域传》,汗弥 (拘弥/宁弥),河之东有汗弥，居达德力城，亦曰拘弥城，即宁弥故城。,达德力城。,小国。,新疆和田地区于田县
148,宋朝,《宋史·外国六》,于阗国,去京师（汴梁）九千九百里。西南抵葱岭与婆罗门接（相去三千余里），东接吐蕃，西北至疏勒二千余里。,国城东有白玉河，西有绿玉河，次西有乌玉河（源出昆冈山）。土宜蒲萄，可酿美酒。地产美玉、乳香、金星石、龙盐等。,,新疆和田县
149,宋朝,《宋史·外国六》,高昌国,汉车师前王之地。南距于阗，西南距大食、波斯，西距西天步路（涉雪山葱岭），皆数千里。后由回鹘统治。,地无雨雪而极热，每盛暑，居人皆穿地为穴以处。飞鸟群萃河滨，或起飞即为日气所烁，坠而伤翼。有水源出金岭，导之周围国城，以溉田园，作水硙。地产五谷，惟无荞麦。贵人食马，余食羊及凫雁。乐多琵琶、箜篌，出貂鼠、白??绣文花蕊布。,所统有南突厥、北突厥、大众熨、小众熨、样磨、割禄、黠戛司末蛮、格哆族、预龙族之名甚众。,新疆吐鲁番市
150,宋朝,《宋史·外国六》,北廷,西抵安西，即唐之西境。,北廷川长广数千里。多美草，不生花。地多马。北山出硇砂（山中有烟气、光焰若炬，采者须着木底鞋）。多楼台卉木。,,新疆昌吉回族自治州吉木萨尔县
151,宋朝,《宋史·外国六》,龟兹,本回鹘别种。西至大食国行六十日；东至夏州九十日。或称西州回鹘，或称西州龟兹，又称龟兹回鹘。,,,新疆阿克苏地区库车市
152,宋朝,《西州使程记》,伊州,次历伊州。,地有野蚕生苦参上。有羊。又有砺石。又生胡桐树。,,新疆哈密市
153,宋朝,《西州使程记》,纳职城,次历纳职城。城在大患鬼魅碛之东南。望玉门关甚近。,地无水草。,,新疆哈密市巴里坤哈萨克自治县
154,宋朝,《西州使程记》,鬼谷口 (避风驿),凡三日。至鬼谷口避风驿。,,,新疆喀什地区莎车县
155,宋朝,《西州使程记》,泽田寺,凡八日。至泽田寺。,,,新疆吐鲁番市
156,宋朝,《西州使程记》,宝庄,次历地名宝庄。,,,新疆哈密市
157,宋朝,《西州使程记》,高昌 (西州),又历六种。乃至高昌。高昌即西州也。其地南距于阗。西南距大食、波斯。西距西天步路涉、雪山、葱岭。,地无雨雪而极热。每盛暑。居人皆穿地为穴以处。雨及五寸。即庐舍多坏。有水。源出金岭。导之周围国城。以溉田园。作水硙。地产五谷。惟无荞麦。俗好骑射。佛寺五十馀区。,,新疆吐鲁番市
158,宋朝,《西州使程记》,交河州,历交河州。凡六日。,,,新疆吐鲁番市高昌区
159,宋朝,《西州使程记》,金岭口,至金岭口。,宝货所出。,,新疆昌吉回族自治州吉木萨尔县
160,宋朝,《西州使程记》,汉家砦,又两日。至汉家砦。,,,新疆昌吉回族自治州吉木萨尔县
161,宋朝,《西州使程记》,金岭 (小雪山),又五日。上金岭。过岭即多雨雪。岭上有积雪。,岭上有龙堂。刻石记云。小雪山也。,,新疆昌吉回族自治州吉木萨尔县
162,宋朝,《西州使程记》,北廷 (北庭),度岭一日至北廷。西抵安西。,北廷川长广数千里。鹰鹞雕鹘之所生。多美草。不生花。砂鼠大如?。鸷禽捕食之。北廷北山中出硇砂。山中尝有烟气涌起。无云雾。至夕光焰若炬火。照见禽鼠皆赤。下有穴生青泥。出穴外即变为砂石。土人取以治皮。城中多楼台卉木。,,新疆昌吉回族自治州吉木萨尔县
163,元朝,《元史·地理六·西北地附录》,畏兀儿地 (回鹘五城/和州),立畏兀儿四处站及交钞库。自上都西北行六千里，至回鹘五城。立别失八里和州等处宣慰司。,唐号北庭，置都护府。大和岭。大碛道。,,新疆吐鲁番市
164,元朝,《元史·地理六·西北地附录》,阿力麻里,诸王海都行营于阿力麻里等处，盖其分地也。自上都西北行六千里至回鹘五城，又西北行四五千里至阿力麻里。,远遁二千余里。,诸军。,新疆和田县
165,元朝,《元史·地理六·西北地附录》,北庭,世祖逆败之于北庭。,唐号北庭，置都护府。,,新疆昌吉回族自治州吉木萨尔县
166,元朝,《元史·地理六·西北地附录》,别失八里,掌别失八里军站事。戍别失八里。自大和岭至别失八里置新站三十。立别失八里和州等处宣慰司。二十四城之中，有察带二城。,畏兀城子里军站。屯田别失八里。置元帅府。大和岭。,军站事。军。万户綦公直。新附兵千人。,新疆昌吉回族自治州吉木萨尔县
167,元朝,《元史·地理六·西北地附录》,彰八里,掌彰八里军站事。,军站。,,新疆昌吉市
168,元朝,《元史·地理六·西北地附录》,察带 (二城),元隶只必帖木儿二十四城之中，有察带二城。,,,新疆塔城额敏县
169,元朝,《长春真人西游记》,和州,此阴山前三百里和州也。,其地大热。,,新疆吐鲁番市
170,元朝,《长春真人西游记》,鳖思马大城,西即鳖思马大城。此大唐时北庭端府。,大城。,王官、士庶、僧道数百。,新疆昌吉回族自治州吉木萨尔县
171,元朝,《长春真人西游记》,轮台,其西三百余里，有县曰轮台。宿轮台之东。,县。,,新疆和田地区策勒县
172,元朝,《长春真人西游记》,昌八剌城,至回纥昌八剌城。,城。园蔬同中区。,,新疆昌吉州阜康市
173,元朝,《长春真人西游记》,白骨甸,白骨甸大沙分流也。,沙细。遇风则流。状如惊涛。乍聚乍散。寸草不萌。车陷马滞。沙场。,,新疆喀什地区泽普县
174,元朝,《长春真人西游记》,阿里马城,至阿里马城。宿于西果园。,多果实。农者亦决渠灌田。流水。,诸部人。,新疆和田县
175,元朝,《长春真人西游记》,金山,师自金山至此。又西南至金山。,山。,,新疆阿克苏市
176,元朝,《长春真人西游记》,银山,银山铁壁千万重。,千万重。,,新疆吐鲁番市
177,元朝,《长春真人西游记》,阿里马城 (阿里马),至阿里马城西百余里。至阿里马城之东园。,绝无种养（指其南千里外）。大河。,营三坛四百余人。,新疆和田县
178,元朝,《长春真人西游记》,金山,复经金山东南北并山行。道院西南望金山。,山。多雨雹。五六月间或有大雪。,,新疆阿勒泰市
179,元朝,《长春真人西游记》,俭俭州,西北千余里俭俭州。,出良铁。亦收??麦。,汉匠千百人。,新疆喀什地区莎车县
180,明朝,《西域行程记》,别失八里,地沙漠间。东连哈密。西至撒马儿罕。后为帖木儿驸马所夺。今止界于养夷。西北至脱忽麻。北与瓦剌相接。南至关河。其封域之内惟鲁陈、火州、术尔番、哈石哈、阿力、马力数处略有城邑民居。,逐水草。不建城郭宫室。不树桑麻。不务耕织。间种穄麦。气候极寒。平旷之地夏秋略暖。深山大谷六月飞雪。,人民可以万计。,新疆昌吉回族自治州吉木萨尔县
181,明朝,《西域行程记》,土尔番,在火州之西仅百里。即古交河县之安乐城。去城西北百余里有灵山。城西三十里有小城名崖现城。循峡而东南行六七里临一高崖。顺峡而东下一石崖。向南行数里。又南行数里。周行群山约二十余里。,城方一二里。居平地中。四面山大而远。天气多暖少寒。鲜雨雪。不种水稻。畜羊马。四面峻壁穷崖。千态万状。草木不生。禽兽稀少。,,新疆吐鲁番市高昌区
182,明朝,《西域行程记》,崖现城 (崖儿城),在土尔番城二十里。二水交流。断居中因崖为城。,广不二里。,居民百家。,新疆吐鲁番市高昌区
183,明朝,《西域行程记》,盐泽,在崖儿城之西南。去土尔番三千余里。城北有矮山崖。,城居平原中。广不二里。,居民有家。,新疆库尔勒市
184,明朝,《西域行程记》,火州,在鲁陈城之西七十里。城近北山下。自陜西行都司、肃州、嘉峪山关至一月之程。,地势卑下。山色青红若红火。天气多热。城方十里。风物萧条。东有荒城。,,新疆吐鲁番市高昌区
185,明朝,《西域行程记》,鲁陈城,古之柳中县。在火州东。去哈密约千余里。其间径一川沙碛。名瀚海。出川至流河沙。河上有小岗。道北有山名火焰山。,漠漠茫然无水草。大风。流沙。城方二三里。四面多田园。沇水环绕。树林阴翳。土宜穄、麦豆。畜养牛羊、马鸵。气候和暖。,,新疆喀什地区莎车县
186,明朝,《西域行程记》,哈密,密城居平州中。惟东北二门。东有溪水西南流。北面大山。三面平旷。东南去肃州卫约一千六百余里。中间亦有大川约三百余里。二三日方出川。北至瓦剌地面。西去火州三个城约十里。,周围三四里。农耕须粪壤。惟穄米、大小二麦。地多陷卤。,人民数百户住矮居。,新疆哈密市
187,明朝,《西域行程记》,葱岭,径别失八里之西南。即土尔番之边鄙也。度一山峡。复登一山。岭下地沮洳。,山峡积雪初消。迥无树木。遍地多葱。雪水喷涌如泉沇出。历历满山。四面空旷。,,帕米尔高原
188,明朝,《西域行程记》,哈密,古伊州之地。荒村漠漠连天阔。,众木掀掀向日荣。,,新疆哈密市
189,明朝,《西域行程记》,火焰山,继火焰山。,一片青烟一片红。炎炎气焰欲烧空。春光未半浑如夏。,,新疆吐鲁番市高昌区
190,明朝,《西域行程记》,鲁陈城,柳中城里。古塞老山晴见雪。孤村僧舍暮闻钟。,楚水秦川。春风。,,新疆喀什地区莎车县
191,明朝,《西域行程记》,火州,哈密火州城。即古之高昌之地。,城郭萧条市肆稀。,,新疆吐鲁番市高昌区
192,明朝,《西域行程记》,土尔番城,路出榆关几十程。诏书今到土番城。,,,新疆吐鲁番市高昌区
193,明朝,《西域行程记》,崔现城,古车师之地。后为交河县。,沙河二水自交流。天设危城水上头。断壁悬崖多险要。荒台废址几春秋。,,新疆准噶尔盆地东部
194,明朝,《西域行程记》,别失八里,连断碛。远山近山相参差。,漠漠平沙。黑石磷磷。寒日凝辉。朔风捲地。雪满阴山六月寒。,,新疆昌吉回族自治州吉木萨尔县
195,明朝,《西域行程记》,高昌,发酒泉郡。出玉门关。道敦煌月氏。经高昌之故地。,,,新疆吐鲁番市
196,明朝,《西域行程记》,车师,发酒泉郡。出玉门关。道敦煌月氏。经车师之故地。,,,新疆吐鲁番市
197,明朝,《明史·西域传》,哈密 (哈密卫/城),东去嘉峪关一千六百里。汉伊吾卢地。以哈密为西域要道。其地北瓦剌，西土鲁番。移哈密卫于其地。,领屯田。地多陷卤。北面大山。三面平旷。地宜五谷、桑麻。膏腴之地。引水通沇。,沙州叛亡百余家。乜克力之众退居苦峪。户八千。口三万。马四千。西凉人苏守信劫乱。三种番人。后部人三百帐。,新疆哈密市
198,明朝,《明史·西域传》,高昌 (古高昌之地/火州),自伊吾北通车师前部高昌壁千二百里。高昌旧冶。,气候极寒。平旷之地。夏秋略暖。深山大谷六月飞雪。,汉匠千百人。,新疆吐鲁番市高昌区
199,明朝,《明史·西域传》,柳中,其北又有柳中。屯柳中。出据柳中。西屯柳中。,膏腴之地。,,新疆吐鲁番市鄯善县
200,明朝,《明史·西域传》,柳城 (鲁陈/柳陈城/柳中),一名鲁陈，又名柳陈城，即后汉柳中地。西去火州七十里，东去哈密千里。经一大川。出大川，渡流沙，在火山下。,广二三里。四面皆田园，流水环绕，树木阴翳。土宜穄、麦、豆、麻。蓄有牛、羊、马、驼。节候常和。大川沙碛。流沙。,,新疆吐鲁番市高昌区
201,明朝,《明史·西域传》,火州 (哈剌),在柳城西七十里，土鲁番东三十里，即汉车师前王地。西北连别失八里。,其地多山，青红若火。气候热。城方十里。东有荒城。五谷畜产与柳城同。,僧寺多于民居。,新疆吐鲁番市高昌区
202,明朝,《明史·西域传》,别失八里,西去火州七十里，东去哈密千里（指柳城位置，行经别失八里边鄙）。西北连别失八里。,,,新疆昌吉回族自治州吉木萨尔县
203,明朝,《明史·西域传》,土鲁番 (安乐城),在火州西百里，去哈密千余里，嘉峪关二千六百里。唐灭高昌，置西州及交河县，此则交河县安乐城也。其地介于阗、别失八里诸大国间。,汉车师前王地。并有火州、柳城。,,新疆吐鲁番市
204,明朝,《明史·西域传》,于阗,其地介于阗、别失八里诸大国间。,,,新疆吐鲁番市高昌区
205,明朝,《明史·西域传》,哈密 (哈密卫/城/哈梅里),东去嘉峪关一千六百里。汉伊吾卢地。明帝置宜禾都尉，领屯田。为西域要道。其地北瓦剌，西土鲁番，东沙州、罕东、赤斤诸卫。移哈密卫于其地。哈密故有回回、畏日儿、哈剌灰三种。元诸王日纳失里居之。开哈梅里之路。,领屯田。地多山，青红若火。气候热。城方十余里。东有荒城。五谷畜产与柳城同。大漠。边防要地。,沙州叛亡百余家。乜克力之众退居苦峪。三种番人。瓦剌奄檀王人马一万。回回、畏日儿、哈剌灰三种。部帐来归。几千帐来归。斩一千四百人。获王子别列怯部属千七百三十人。部族数千户。,新疆吐鲁番市高昌区
206,明朝,《明史·西域传》,火州,在火州西百里。后侵掠火州、柳城，皆为所并。,汉车师前王地。隋高昌国。,,新疆吐鲁番市高昌区
207,明朝,《明史·西域传》,柳城,后侵掠火州、柳城，皆为所并。,汉车师前王地。,,新疆吐鲁番市高昌区
208,明朝,《明史·西域传》,骗马城,墓西四十里曰骗马城。,,,新疆哈密市巴里坤哈萨克自治县
209,明朝,《明史·西域传》,哈梅里,哈梅里地近甘肃，元诸王日纳失里居之。,,,新疆哈密市巴里坤哈萨克自治县
210,明朝,《明史·西域传》,别失八里 (亦力把里/焉耆/龟兹),西域大国也。南接于阗，北连瓦剌，西抵撒马儿罕，东抵炎州，东南距嘉峪关三千七百里。或曰焉耆，或曰龟兹。更国号曰亦力把里。介于阗、别失八里诸大国间。,宣慰司。元帅府。随水草畜牧。地极寒，深山穷谷，六月亦飞雪。无城郭宫室。,获撒马儿罕商人数百。使者臣不得过二具（指元代及明代使臣定额）。,新疆昌吉回族自治州吉木萨尔县
211,明朝,《明史·西域传》,于阗,自汉迄宋皆通中国。南距葱岭二百余里，东北去嘉峪关六千三百里。以北于阗最大。其国东有白玉河，西有绿玉河，又西有黑玉河，源皆出昆仑山。介于阗、别失八里诸大国间。,水草。宛然中土。桑麻黎禾。白玉河。绿玉河。黑玉河。,人民仅万计。,新疆吐鲁番市鄯善县
212,清朝,《西域闻见录》,南路 (总述),冰雪之水，冬夏涌流。资于灌溉。,,,南疆
213,清朝,《西域闻见录》,北路 (总述),准噶尔故地。,,,北疆
214,清朝,《西域闻见录》,雪山,自古积雪。冰雪之水。,,,新疆阿克苏地区温宿县
215,清朝,《西域闻见录》,莫勒土斯围,逾千里。水畅草肥。宜于游牧。,,,新疆哈密市巴里坤哈萨克自治县
216,清朝,《西域闻见录》,哈密,钱粮总汇之地。周四里有奇。关外第一要冲。夏极热，冬极寒。土产二麦、谷糜、瓜、蒲桃。,兵一千。回户不满二千家。商贾云集。,,新疆哈密市
217,清朝,《西域闻见录》,巴里坤,地本极寒。五六月间犹飞雪霰。二麦谷糜渐可树艺。,携眷满兵一千。总兵官一员。标兵三千。移驻民户。古城设领队大臣一员。携眷满兵一千。,,新疆哈密市巴里坤哈萨克自治县
218,清朝,《西域闻见录》,乌鲁木齐,山川灵秀，沃野千里，草肥水甘。足资耕牧。周十里有奇。沙冈环绕，其下产煤盛旺。开垦。,携眷满兵三千。协领等官七十八员。携眷汉兵二千。参游等官百余员。兵五千三百。副参等官百余员。民户数千家。发遣人犯数千。,,新疆乌鲁木齐市
219,清朝,《西域闻见录》,伊犁,总统南北两路。伊犁川。周十八里有奇。其下多煤，其阴产铁。开垦荒芜。,满汉官兵驻札。参赞大臣、都统、办事大臣、领队大臣、提督、总兵。各领队大臣。司官四员。笔帖式四员。管粮司官一员。抚民同知一员。巡检二员。卡伦侍卫三十余员。满兵三千八百名。协领等官一百二十八员。发遣内地犯人二千余名。惠宁城驻防领队大臣一员。协领等官五十余员。兵千九百。回民六千户。领兵五百。,,新疆喀什地区叶城县
220,清朝,《西域闻见录》,哈什,回环数百里。其上多银。将军围场。,哈什回子之城。,,新疆喀什市
221,清朝,《西域闻见录》,博罗他拉 ,川。温泉。赛里木淖儿。,驻防察哈尔携眷兵一千。总管、副总管领之。,,新疆昌吉市
222,清朝,《西域闻见录》,乌哈尔里克,屯田所。二十六工。乌哈拉里克之河。开渠引之入城。环城西北来。,绿旗兵二千六百。流犯千余。屯田二十六工。副参等官百二十员。总兵一员（统两城）。,,新疆伊犁州霍城县
223,清朝,《西域闻见录》,莫怀图,,,,新疆巴音郭楞州轮台县
224,清朝,《西域闻见录》,库车托木,,,,新疆阿克苏地区库车市
225,清朝,《西域闻见录》,挤拉噶朗,山。冬夏温和。,,,新疆乌鲁木齐市
226,清朝,《西域闻见录》,库色木克什,山。冬夏温和。,,,新疆和田地区民丰县
227,清朝,《西域闻见录》,伊犁河,巨流，迅急湍激。中多鱼。西北流入沙而伏。,,,新疆伊宁市
228,清朝,《西域闻见录》,南川,川。有八堡。其东皆深林丰草，其西皆苇湖。杂耕。,驻防携眷席伯兵一千。分八旗。总管、副总管领之。回人杂耕。,,新疆哈密市
229,清朝,《西域闻见录》,西川,平原。川。,驻携眷索伦兵六百。达呼里兵四百。总管、副总管领之。,,新疆伊犁州霍城县
230,清朝,《西域闻见录》,军台/卡伦,军台十二。沿边卡伦三十。,沿边卡伦三十。,,新疆吐鲁番市鄯善县
231,清朝,《西域闻见录》,挞拉巴哈台,严疆，土宇广阔。南至伊犁十八站，北至哈萨克七口。极寒，冬雪盈丈。建筑城垣，周回复里。河水畅流。山场丰美。,参赞大臣一员。领队大臣一员。司官二员。笔帖式三员。同知一员。听差及卡伦侍卫七员。屯田汉兵一千（参将游击领）。轮班调拨兵一千五百（协领领）。土尔扈特亲王策伯克多尔济之部落三千余口。,,新疆哈密市
232,清朝,《西域闻见录》,辟展,周五里有奇。辖军站六台。,兵三百五十。,,新疆吐鲁番市鄯善县
233,清朝,《西域闻见录》,土尔番,夏极炎热。东南一带为火焰山（沙山），绝无草木。冬日无祁寒大雪。土产麦谷、胡麻、甜瓜、西瓜、葡萄。土田肥沃，多棉豆之利。北有怪风，南皆戈壁。,合而计之不过三千余户。,,新疆巴音郭楞州焉耆县
234,清朝,《西域闻见录》,哈喇沙拉,周仅三里。著勒土斯山场回环千里，草肥水甘。开都河水畅流，足资灌溉。果木黍稷盘空被野。牧场毡帐云屯，教之耕种。,兵六百。城中回人及土尔扈特人等杂处（乌巴锡部落、霍硕特部落安插于此）。,,新疆巴音郭楞州焉耆县
235,清朝,《西域闻见录》,库尔勒,地方辽阔。开都河水潆绕，多鱼??、芦雁、蒲鸭。土产稻米、二麦、葡萄、瓜果。,回子七百余户。无内地官兵防守。,,新疆阿克苏地区库车市
236,清朝,《西域闻见录》,布古尔,芦荡蒲滩，绵渺无际。山场丰美。为西入回地之咽喉（设有苇湖之土桥过渡）。,仅存百余户（后徙惰兰回子五百户实其地，共约六百余户）。无内地官兵。,,新疆巴音郭楞州轮台县
237,清朝,《西域闻见录》,库车,周九里余。天少雨，耕种皆资灌漑。城西为渭千大河，开渠引水。城北有硝磺石洞，春夏秋洞中皆火。有军台十处。,兵三百。城乡回子一千余户。,,新疆喀什市
238,清朝,《西域闻见录》,沙雅尔,紧依渭干河岸。地下湿炎热。宜于粳稻，瓜果皆佳，梨尤精绝。近城皆苇湖。不设官兵。,回子七百余户。,,新疆巴音郭楞州若羌县
239,清朝,《西域闻见录》,乌什,诸峰环抱，大河萦绕其北。山场丰蔚，苇荡深邃。设有屯田、牧场、军台、钱法诸务局。城内无回人居住。,满兵二百。汉兵一千。绿营屯兵四百（耕其荒废之地）。后徙回子五百户于城外分布散处。,,新疆阿克苏地区乌什县
240,清朝,《西域闻见录》,阿克苏,土田广沃。芝麻、二麦、谷豆、黍棉、桃杏、葡萄、瓜菜之属塞圃充园。街市纷纭。,人二万余户。内地商民、外番贸易鳞集星萃。,,新疆阿克苏市
241,清朝,《西域闻见录》,拜城,地寒，粮米、瓜果甚稀。,人四五百户。无官兵防守。,,新疆昌吉回族自治州玛纳斯县
242,清朝,《西域闻见录》,赛里木,处于雪山之麓，地寒。所树惟二麦、豌豆、甜瓜、葡萄。无官兵。,回城。,,新疆昌吉市
243,清朝,《西域闻见录》,叶尔羌,周十数里。土地平旷。其地有河（和阗、玉咙、哈什哈琅圭、塔克河等）产玉石子。米尔台搭班徧山皆玉。土田平旷。设有卡伦八处，军站十三台。,满兵三百。城守汉兵六百五十五。人丁七八万户（其余九城各千户）。中国商贾与外番贸易之人蜂聚。,,新疆昌吉回族自治州吉木萨尔县
244,清朝,《西域闻见录》,和阗 ,土田平旷，沃野千里。皆出玉子。瓜果咸备。盛产原蚕山茧，织袖绢茧布。,绿营兵二百三十二。户口繁多（回民以万计，分布于六城）。,,新疆巴音郭楞蒙古自治州和静县
245,清朝,《西域闻见录》,喀什噶尔,地土膏腴。设有卡伦十二处。阿尔古城依雪山（过雪山四日可抵伊犁）。,防兵二百二十。汉兵二百五十。镇城与回城相连，极繁盛。英阿萨尔回城设总兵一员（镇兵额未详述）。,,新疆喀什市
246,清朝,《西域闻见录》,英阿萨尔 ,最为紧要。土产稻米、二麦、麻豆、瓜果甚盛。,设总兵一员（其直属兵额于此未详标）。回城。,,新疆喀什地区莎车县
247,清朝,《西域闻见录》,伊犁,地广草肥水甘。易蕃牲畜。设有官兵屯田防守。,控弦之众百余万（旧时额鲁特总数）。袭杀兵一千五百人。叛乱时留守满汉官兵仅五百余人。诛其男妇子女逾百万人。,,新疆伊犁州
248,清朝,《西域闻见录》,乌鲁木齐,沃野。开垦。,,,新疆乌鲁木齐市
249,清朝,《西域闻见录》,雅尔,牧场。,各有阿拉巴图数千户。,,新疆吐鲁番市鄯善县
250,清朝,《西域闻见录》,土斯,牧场。,,,新疆乌鲁木齐市
251,清朝,《西域闻见录》,玛纳斯,沃野。开垦。,,,新疆昌吉市
252,清朝,《西域闻见录》,巴彦,沃野。开垦。,,,新疆巴音郭楞州且末县
253,清朝,《西域闻见录》,沙雅尔,回疆绿洲。郭壁大近星宿海，沮洳难行。,,,新疆巴音郭楞州若羌县
254,清朝,《西域闻见录》,乌什,回城。穆肃尔达坂（冰山险阻）。,亲丁百余骑。,,新疆阿克苏地区乌什县
255,清朝,《西域闻见录》,巴里坤,边关要冲。,,,新疆哈密市巴里坤哈萨克自治县
256,清朝,《清史稿》,迪化府,筑土城、筑新城、筑满城。,,,新疆乌鲁木齐市
257,清朝,《清史稿》,镇西直隶厅 ,阿尔泰山以东地。建城于巴尔库勒。筑会宁城。,,,新疆巴音郭楞州若羌县
258,清朝,《清史稿》,吐鲁番直隶厅,建六城于辟展。以吐鲁番广安城为回城。,,,新疆吐鲁番市鄯善县
259,清朝,《清史稿》,哈密直隶厅 ,始建城。移靖逆、瓜州、黄墩各营驻之。,,,新疆哈密市
260,清朝,《清史稿》,库尔喀喇乌苏直隶厅,筑庆绥城、筑新城。,,,新疆阿克苏地区乌什县
261,清朝,《清史稿》,伊犁府,筑河北九城。收回伊犁。以绥定城置府。,,,新疆伊宁市
262,清朝,《清史稿》,塔尔巴哈台直隶厅,筑城雅尔（名曰肇丰），改筑城于楚呼楚（名曰绥靖）。专理游牧。,,,新疆吐鲁番市鄯善县
263,清朝,《清史稿》,精河直隶厅,始建安阜城于精河，于城东二里建新城。,,,新疆昌吉回族自治州吉木萨尔县
264,清朝,《清史稿》,温宿府,回部平。筑新城为府治。,,,新疆阿克苏市
265,清朝,《清史稿》,焉耆府,占为牧场。始建城。,,,新疆巴音郭楞州焉耆县
266,清朝,《清史稿》,库车直隶州,改名库车。,,,新疆喀什市
267,清朝,《清史稿》,鸟什直隶厅,筑永宁城。移驻防。留办事。,,,新疆阿克苏地区乌什县
268,清朝,《清史稿》,疏勒府,于沽溇巴海筑徕宁城。于哈喇哈依筑新城。,,,新疆喀什市
269,清朝,《清史稿》,莎车府,平定霍集占。筑新城。,,,新疆昌吉回族自治州吉木萨尔县
270,清朝,《清史稿》,和阗直隶州,回城。,,,新疆和田县
271,清朝,《清史稿》,央吉沙尔直隶厅,故回庄。,,,新疆喀什地区莎车县
